source_group,source_file,T_K,conversion_proxy,tau_s,log10_tau_s,P_Pa,steam_to_ethane,sample_kind,iso_final_design_kind
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1330.847392049618,0.0001984029575754498,4.541673954663794e-07,-6.342784046860657,345077.1799311042,0.9923003911972046,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,946.6553891869262,2.0711738546452807e-08,2.6213015806218433e-05,-4.58148301061948,274240.3119802475,0.3821375966072082,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1489.795864224434,0.0009100353626217972,1.1751411002225818e-07,-6.929909984142031,298695.3256651759,0.8648856030777097,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1357.6405260385943,0.033053473175893244,3.3505924886750717e-06,-5.474878389437712,331014.7987678647,0.8652834882959723,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,966.0980039695278,0.3107766464321279,1.4010472577632064e-05,-4.853547215578146,348677.6715144515,0.1178852561861276,state_probe,anchored_state_probe_after_pfr_miss
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1141.0437335958704,0.0007269116220920413,2.3457604606684517e-05,-4.629716338307999,194052.16462910172,0.5333829326555133,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1458.5869376221672,0.06793920680575605,1.3714219489297007e-06,-5.862828904146732,307398.2741683721,0.0350230056792497,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1030.5693160835654,3.5477105342351933e-07,9.096779489694617e-06,-5.041112332668533,174981.17573559284,0.0756335360929369,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,1307.769049112685,0.0025680860648152892,1.920959285683735e-06,-5.716481839818301,152053.86523157358,0.1430193139240145,trajectory,isothermal_pfr_missed_target
isothermal,out_v2_iso_r1\isothermal_enrichment_cracksim.parquet,807.4534875154495,2.9478232570490093e-06,0.1845573045908397,-0.7338687611932531,281822.80492037535,0.2807394256815314,trajectory,isothermal_pfr_missed_target
